['A1BG', 'GAB3', 'CSF1', 'CXCL1', 'IL18']
['A1CF', 'APOBEC2', 'CDA', 'NT5E', 'ENPP3']
['A2M', 'SERPING1', 'C3', 'C8B', 'VDAC1']
['A2ML1', 'CTRB2', 'AMY1B', 'AMY1C', 'CTRB1']
['A3GALT2', 'B4GALT6', 'ST3GAL5', 'HEXB', 'B3GALNT1']
['A4GALT', 'B4GALT4', 'B3GALNT1', 'A3GALT2', 'GLB1']
['A4GNT', 'MUC6', 'MUC3A', 'GALNT13', 'B4GALNT1']
['AAAS', 'MAGOH', 'SRRM1', 'PPIE', 'BUD31']
['AACS', 'HMGCL', 'MCCC2', 'EHHADH', 'ECHS1']
['AADAC', 'NAT2', 'ESCO1', 'WDHD1', 'MCM9']
['AADAT', 'BCAT2', 'ILVBL', 'CS', 'LDHAL6A']
['AAGAB', 'AP1S3', 'AP1G1', 'VAMP7', 'NAPA']
['AAK1', 'RALBP1', 'ARF6', 'SPAG9', 'RAB10']
['AAMP', 'AEN']
['AANAT', 'OPN4', 'PER2', 'VIPR2', 'GIP']
['AAR2', 'TSSC4', 'EAPP', 'ZNHIT2', 'SNRNP40']
['AARS2', 'HARS2', 'SARS2', 'WARS2', 'PARS2']
['AARSD1', 'PTGES3L']
['AASDH', 'GART', 'RPS13', 'CXorf66', 'MRPS16']
['AASDHPPT', 'OXSM', 'ELOVL6', 'FASN', 'ACSL1']
['AASS', 'SOD2', 'GCLC', 'KEAP1', 'PTMA']
['AATF', 'RPS15A', 'NGDN', 'NCOA6', 'PWP2']
['AATK', 'CDK5', 'CDK2', 'CDK4', 'RPA1']
['ABAT', 'CNDP1', 'HDC', 'SLITRK1', 'IMMP2L']
['ABCA1', 'UTRN', 'SNTB2', 'SGCD', 'SSPN']
['ABCA12', 'CYP4F22', 'ALOXE3', 'LOX', 'COL1A2']
['ABCA2', 'ABCC8', 'PRKACA', 'GNB1', 'GNA11']
['ABCA3', 'SFTPA1', 'SCGB3A2', 'NKX2-1', 'SLC5A5']
['ABCA4', 'PRPF31', 'CNGB1', 'FSCN2', 'CLIC5']
['ABCA5', 'ELP6', 'ELP4', 'ELL2', 'EAF1']
['ABCA6', 'FOXO1', 'MTOR', 'JAK2', 'HIF1A']
['ABCA7', 'TREM2', 'CD200', 'CD8A', 'IFNA1']
['ABCA8', 'SLC22A8', 'SLCO4C1', 'SLC47A1', 'FDFT1']
['ABCA9', 'ABCA6', 'FOXO1', 'MAPKAPK5', 'MAPK12']
['ABCB1', 'CYP3A5', 'NDOR1', 'GLRX3', 'MMS19']
['ABCB10', 'SLC25A28', 'MTCH1', 'SLC25A24', 'NDUFA2']
['ABCB11', 'SLC10A2', 'PPARA', 'ABCA1', 'NR1H3']
['ABCB4', 'SLC10A1', 'ERVW-1', 'ANXA2', 'SNAP23']
['ABCB5', 'PROM1', 'THY1', 'CD3E', 'CD2']
['ABCB6', 'ABCG8', 'ATP1A1', 'ATP1A4', 'FXYD1']
['ABCB7', 'FECH', 'HMOX1', 'BAX', 'C8B']
['ABCB8', 'ATP2A2', 'KAT5', 'MYC', 'CHEK1']
['ABCB9', 'TAPBP', 'PSMB8', 'IFNG', 'CD40']
['ABCC1', 'ABCG2', 'SLCO1A2', 'SLC10A2', 'PPARA']
